id,papers,citations,years_of_activity,name,avg_citation,avg_papers
57217125162,14,78,3,Cruz-Casarrubias C.,5.571428571428571,4.666666666666667
6601928375,288,57475,24,Barquera S.,199.56597222222223,12.0
57188820035,358,6237,21,Pettigrew S.,17.421787709497206,17.047619047619047
56079257800,108,960,9,Jongenelis M.I.,8.88888888888889,12.0
12789798300,400,14226,17,Ares G.,35.565,23.529411764705884
56333979800,44,1233,9,Machin L.,28.022727272727273,4.888888888888889
55342703500,89,2868,11,Antunez L.,32.2247191011236,8.090909090909092
15045260400,15,170,17,Muzzioli L.,11.333333333333334,0.8823529411764706
22836071500,57,1357,21,Pinto A.,23.80701754385965,2.7142857142857144
7005845861,346,22041,22,Finkelstein E.A.,63.702312138728324,15.727272727272727
57189387062,51,1278,7,Curutchet M.R.,25.058823529411764,7.285714285714286
7103334317,158,7085,22,Gimenez A.,44.84177215189873,7.181818181818182
57219193082,7,51,3,Sarda B.,7.285714285714286,2.3333333333333335
56386887800,1005,61236,43,Hercberg S.,60.93134328358209,23.372093023255815
36484310400,660,48399,39,Galan P.,73.33181818181818,16.923076923076923
8877033300,410,59176,20,Touvier M.,144.33170731707318,20.5
56026765400,119,4520,10,Deschasaux M.,37.983193277310924,11.9
56427767700,37,1055,9,Ducrot P.,28.513513513513512,4.111111111111111
35573782000,405,18905,22,Kesse-Guyot E.,46.67901234567901,18.40909090909091
36698096000,230,7447,13,Julia C.,32.37826086956522,17.692307692307693
57208220269,59,1660,17,Graham D.J.,28.135593220338983,3.4705882352941178
57218375570,13,84,2,Mazzu M.F.,6.461538461538462,6.5
57225038020,13,62,2,Baccelloni A.,4.769230769230769,6.5
7003357665,770,44370,43,Salas-Salvado J.,57.62337662337662,17.906976744186046
57202554440,213,6368,19,Babio N.,29.896713615023476,11.210526315789474
57191976555,93,3386,7,Srour B.,36.40860215053763,13.285714285714286
57216652633,15,190,3,Fialon M.,12.666666666666666,5.0
6603764863,250,12247,28,Donini L.M.,48.988,8.928571428571429
7003464462,194,33391,30,Pellegrini N.,172.11855670103094,6.466666666666667
35868254500,51,1163,13,Talati Z.,22.80392156862745,3.923076923076923
35739712600,45,592,14,Ahmed M.,13.155555555555555,3.2142857142857144
56250059700,129,6055,16,Mejean C.,46.93798449612403,8.0625
14830202900,134,3909,17,Andreeva V.A.,29.171641791044777,7.882352941176471
56037598600,107,2406,9,Hall M.G.,22.485981308411215,11.88888888888889
55534054000,100,1407,11,Vanderlee L.,14.07,9.090909090909092
7202006759,501,18809,22,Hammond D.,37.54291417165668,22.772727272727273
24175298300,50,2378,17,Romani S.,47.56,2.9411764705882355
56711297700,131,3314,8,Taillie L.S.,25.297709923664122,16.375
7005010204,491,35534,48,Drewnowski A.,72.37067209775968,10.229166666666666
26028977900,235,8621,15,Vandevijvere S.,36.685106382978724,15.666666666666666
55636837600,34,498,10,Contreras-Manzano A.,14.647058823529411,3.4
57204716988,85,6828,12,Jauregui A.,80.32941176470588,7.083333333333333
57202433300,15,156,5,Vargas-Meza J.,10.4,3.0
55543635500,35,313,11,Nieto C.,8.942857142857143,3.1818181818181817
26425166400,128,1997,24,Miller C.,15.6015625,5.333333333333333
7004290629,1118,59983,44,Martinez-Gonzalez M.A.,53.6520572450805,25.40909090909091
56247740200,287,11636,18,Bes-Rastrollo M.,40.54355400696864,15.944444444444445
34968936900,61,688,14,Anastacio L.R.,11.278688524590164,4.357142857142857
57191960019,39,1301,7,Egnell M.,33.35897435897436,5.571428571428571
35238217100,148,5417,16,Peneau S.,36.601351351351354,9.25
55667581000,158,7243,21,Fezeu L.K.,45.84177215189873,7.523809523809524
22959179500,54,1118,16,Woods J.L.,20.703703703703702,3.375
15769422900,152,6581,16,Kelly B.,43.296052631578945,9.5
57191608062,27,426,7,Acton R.B.,15.777777777777779,3.857142857142857
6603276614,235,11530,26,Mhurchu C.N.,49.06382978723404,9.038461538461538
57218390053,521,96550,28,Neal B.,185.31669865642993,18.607142857142858
36504088600,50,793,13,Gregorio M.J.,15.86,3.8461538461538463
35103276800,428,1,14,Rempe C.,0.002336448598130841,30.571428571428573
7004710112,224,6980,46,L'Abbe M.R.,31.160714285714285,4.869565217391305
6507025650,34,1108,25,Ruffieux B.,32.588235294117645,1.36
57214558780,27,533,15,Muller L.,19.74074074074074,1.8
8389173500,28,396,23,Hamlin R.,14.142857142857142,1.2173913043478262
35848108900,117,5758,16,Aschemann-Witzel J.,49.21367521367522,7.3125
57207246807,89,2591,25,Dixon H.,29.1123595505618,3.56
